cnn only run
iters per epoch: 50
number of epochs 500

Accuracy (361): 0.828
Accuracy (362): 0.817
Accuracy (363): 0.838
Accuracy (364): 0.832
Accuracy (365): 0.829
Accuracy (366): 0.831
Accuracy (367): 0.822
Accuracy (368): 0.825
Accuracy (369): 0.824
Accuracy (370): 0.829
Accuracy (371): 0.822
Accuracy (372): 0.815
Accuracy (373): 0.829
Accuracy (374): 0.827
Accuracy (375): 0.827
Accuracy (376): 0.821
Accuracy (377): 0.825
Accuracy (378): 0.828
Accuracy (379): 0.823
Accuracy (380): 0.825
Accuracy (381): 0.829
Accuracy (382): 0.834
Accuracy (383): 0.828
Accuracy (384): 0.834
Accuracy (385): 0.833
Accuracy (386): 0.833
Accuracy (387): 0.831
Accuracy (388): 0.828
Accuracy (389): 0.823
Accuracy (390): 0.828
Accuracy (391): 0.835
Accuracy (392): 0.829
Accuracy (393): 0.829
Accuracy (394): 0.822
Accuracy (395): 0.818
Accuracy (396): 0.825
Accuracy (397): 0.83
Accuracy (398): 0.827
Accuracy (399): 0.829
Accuracy (400): 0.824
Accuracy (401): 0.823
Accuracy (402): 0.831
Accuracy (403): 0.826
Accuracy (404): 0.829
Accuracy (405): 0.826
Accuracy (406): 0.822
Accuracy (407): 0.826
Accuracy (408): 0.829
Accuracy (409): 0.823
Accuracy (410): 0.832
Accuracy (411): 0.828
Accuracy (412): 0.823
Accuracy (413): 0.832
Accuracy (414): 0.83
Accuracy (415): 0.837
Accuracy (416): 0.829
Accuracy (417): 0.834
Accuracy (418): 0.837
Accuracy (419): 0.835
Accuracy (420): 0.83
Accuracy (421): 0.836
Accuracy (422): 0.831
Accuracy (423): 0.829
Accuracy (424): 0.821
Accuracy (425): 0.837
Accuracy (426): 0.832
Accuracy (427): 0.834
Accuracy (428): 0.827
Accuracy (429): 0.828
Accuracy (430): 0.84
Accuracy (431): 0.833
Accuracy (432): 0.838
Accuracy (433): 0.832
Accuracy (434): 0.833
Accuracy (435): 0.834
Accuracy (436): 0.831
Accuracy (437): 0.831
Accuracy (438): 0.83
Accuracy (439): 0.825
Accuracy (440): 0.832
Accuracy (441): 0.83
Accuracy (442): 0.827
Accuracy (443): 0.831
Accuracy (444): 0.827
Accuracy (445): 0.827
Accuracy (446): 0.83
Accuracy (447): 0.832
Accuracy (448): 0.829
Accuracy (449): 0.829
Accuracy (450): 0.814
Accuracy (451): 0.818
Accuracy (452): 0.833
Accuracy (453): 0.816
Accuracy (454): 0.826
Accuracy (455): 0.822
Accuracy (456): 0.82
Accuracy (457): 0.824
Accuracy (458): 0.834
Accuracy (459): 0.832
Accuracy (460): 0.831
Accuracy (461): 0.835
Accuracy (462): 0.83
Accuracy (463): 0.837
Accuracy (464): 0.843
Accuracy (465): 0.833
Accuracy (466): 0.823
Accuracy (467): 0.83
Accuracy (468): 0.836
Accuracy (469): 0.829
Accuracy (470): 0.829
Accuracy (471): 0.832
Accuracy (472): 0.836
Accuracy (473): 0.831
Accuracy (474): 0.821
Accuracy (475): 0.831
Accuracy (476): 0.833
Accuracy (477): 0.831
Accuracy (478): 0.83
Accuracy (479): 0.83
Accuracy (480): 0.831
Accuracy (481): 0.827
Accuracy (482): 0.826
Accuracy (483): 0.83
Accuracy (484): 0.828
Accuracy (485): 0.83
Accuracy (486): 0.825
Accuracy (487): 0.827
Accuracy (488): 0.828
Accuracy (489): 0.825
Accuracy (490): 0.824
Accuracy (491): 0.823
Accuracy (492): 0.828
Accuracy (493): 0.811
Accuracy (494): 0.833
Accuracy (495): 0.811
Accuracy (496): 0.827
Accuracy (497): 0.822
Accuracy (498): 0.83
Accuracy (499): 0.82
Predicted   0    1    2   3   4   5   6   7   8    9   All
Actual                                                    
0          76    3    2   0   2   2   2   1   2    1    91
1           0  122    1   0   1   0   0   0   1    0   125
2           0    2   95   1   1   0   2   2   1    0   104
3           2    1   11  69   2   3   1   3   8    1   101
4           0    3    0   0  80   0   1   2   1    9    96
5           2    2    2   3   3  75   2   1   7    5   102
6           0    1    4   0   5   2  64   0   0    0    76
7           0    2    7   1   2   0   0  81   0    6    99
8           2    4    2   1   0   1   3   2  74    6    95
9           1    2    2   1   3   2   0   4   2   94   111
All        83  142  126  76  99  85  75  96  96  122  1000

correctly predicted 830
out of 1000

Indices of wrong images: [2, 3, 6, 13, 14, 16, 25, 28, 30, 35, 38, 43, 50, 51, 60, 68, 72, 75, 89, 94, 96, 98, 106, 121, 122, 123, 125, 128, 135, 138, 140, 152, 168, 169, 171, 174, 175, 183, 185, 189, 200, 202, 205, 209, 215, 220, 222, 223, 227, 230, 237, 269, 285, 287, 296, 306, 308, 311, 314, 316, 322, 324, 337, 340, 343, 353, 362, 369, 371, 384, 385, 395, 396, 412, 418, 420, 424, 426, 432, 441, 442, 463, 464, 467, 473, 477, 484, 496, 501, 505, 529, 536, 543, 551, 557, 566, 572, 573, 576, 578, 579, 581, 583, 590, 606, 608, 614, 623, 626, 628, 629, 633, 644, 645, 646, 647, 649, 663, 667, 675, 688, 695, 698, 712, 717, 735, 739, 745, 747, 750, 751, 752, 757, 766, 776, 786, 789, 800, 802, 803, 806, 823, 836, 841, 857, 859, 875, 878, 879, 880, 883, 886, 890, 894, 901, 902, 903, 906, 919, 922, 929, 940, 942, 956, 957, 972, 983, 985, 989, 997]
